1000,0.368,1.737
2000,0.527,1.317
3000,0.585,1.167
4000,0.621,1.072
5000,0.645,0.996
6000,0.676,0.929
7000,0.688,0.883
8000,0.704,0.839
9000,0.714,0.815
10000,0.721,0.789
11000,0.734,0.756
12000,0.740,0.744
13000,0.750,0.720
14000,0.757,0.699
15000,0.758,0.693
16000,0.761,0.685
17000,0.767,0.667
18000,0.767,0.666
19000,0.777,0.637
20000,0.786,0.620
21000,0.785,0.621
22000,0.784,0.616
23000,0.789,0.607
24000,0.792,0.598
25000,0.793,0.593
26000,0.793,0.594
27000,0.797,0.580
28000,0.795,0.584
29000,0.800,0.574
30000,0.803,0.570
31000,0.801,0.564
32000,0.806,0.557
33000,0.804,0.561
34000,0.809,0.549
35000,0.806,0.551
36000,0.811,0.539
37000,0.810,0.544
38000,0.811,0.538
39000,0.814,0.531
40000,0.818,0.520
41000,0.819,0.521
42000,0.814,0.525
43000,0.819,0.517
44000,0.820,0.514
45000,0.820,0.510
46000,0.825,0.498
47000,0.823,0.505
48000,0.822,0.503
49000,0.826,0.495
50000,0.825,0.498
